,h,kernel_type,time,cutoff,tst_accuracy,tst_f1,tp,fn,tn,fp
57,10.0,tophat,7.854635715484619,200,0.9853801169590644,0.0,0,20,1348,0
58,10.0,tophat,7.854635715484619,300,0.9853801169590644,0.0,0,20,1348,0
59,10.0,tophat,7.854635715484619,400,0.9853801169590644,0.0,0,20,1348,0
60,10.0,epanechnikov,7.616886615753174,50,0.9853801169590644,0.0,0,20,1348,0
61,10.0,epanechnikov,7.616886615753174,100,0.9853801169590644,0.0,0,20,1348,0
62,10.0,epanechnikov,7.616886615753174,200,0.9853801169590644,0.0,0,20,1348,0
63,10.0,epanechnikov,7.616886615753174,300,0.9853801169590644,0.0,0,20,1348,0
64,10.0,epanechnikov,7.616886615753174,400,0.9853801169590644,0.0,0,20,1348,0
65,10.0,exponential,11.660579204559326,50,0.9707602339181286,0.42857142857142855,15,5,1313,35
66,10.0,exponential,11.660579204559326,100,0.935672514619883,0.26666666666666666,16,4,1264,84
67,10.0,exponential,11.660579204559326,200,0.8625730994152047,0.14545454545454545,16,4,1164,184
68,10.0,exponential,11.660579204559326,300,0.7909356725146199,0.10625,17,3,1065,283
69,10.0,exponential,11.660579204559326,400,0.7207602339181286,0.09047619047619047,19,1,967,381
70,10.0,linear,7.809201955795288,50,0.9853801169590644,0.0,0,20,1348,0
71,10.0,linear,7.809201955795288,100,0.9853801169590644,0.0,0,20,1348,0
72,10.0,linear,7.809201955795288,200,0.9853801169590644,0.0,0,20,1348,0
73,10.0,linear,7.809201955795288,300,0.9853801169590644,0.0,0,20,1348,0
74,10.0,linear,7.809201955795288,400,0.9853801169590644,0.0,0,20,1348,0
75,50.0,gaussian,12.008973360061646,50,0.9678362573099415,0.37142857142857144,13,7,1311,37
76,50.0,gaussian,12.008973360061646,100,0.9312865497076024,0.21666666666666667,13,7,1261,87
77,50.0,gaussian,12.008973360061646,200,0.8581871345029239,0.11818181818181818,13,7,1161,187
